dak_tab,dak_section,dak_data_element_id,dak_data_element_name,dak_answer_of,dak_data_type,dak_ciel,dak_read_date,decision,layer,domain,liberiaemr_variable,concept_uuid_source,form_field,status,notes
Family Planning,,EMR.FP.DE10,Female,Sex,List value,7182029,2026-07-30,unassigned,,,,,,conflict,"DAK gives CIEL 7182029 for Female, which is not a plausible CIEL id (the L&D tab uses 167865/167866 for male/female). Verify before use."
Family Planning,,EMR.FP.DE11,Gravida,,Quantity,5624,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.gravida.uuid,CIEL 5624,,verified,DAK CIEL code matches the alias already declared in variables.properties.
Family Planning,,EMR.FP.DE12,Parity,,,1053,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.parity.uuid,CIEL 1053,,verified,DAK CIEL code matches the alias already declared in variables.properties.
Family Planning,,EMR.FP.DE13,New,,,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE14,Continue,,,159835,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE15,Counselling done,,Boolean,1382,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE16,Purpose of Visit,,List - select all that apply,1878,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE17,For Commodities,Purpose of visit,List value,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE18,Side effects,Purpose of visit,List value,163296,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE19,Jadelle/IUCD removal,Purpose of visit,List value,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE20,Post-partum FP,,,163159,2026-07-30,unassigned,,,,,,pending,CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE21,Date of removal,,Date,,2026-07-30,unassigned,,,,,,pending,No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE22,Family Planning method dispensed,,Coding,374,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.fp-method.uuid,CIEL 374,,verified,DAK CIEL code matches the alias already declared in variables.properties.
Family Planning,,EMR.FP.DE23,Male Condoms,,Code,164813,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE24,Female Condoms,,Code,164814,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE25,Cycle beads,,Code,163759,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE26,Oral contraceptive pills (Microgynon),,Code,159783,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE27,Oral contraceptive pills (Microlut),,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE28,Injectables (Depo Provera),,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE29,IUCDS,,Code,5275,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
Family Planning,,EMR.FP.DE30,Implants,,Code,,2026-07-30,unassigned,,,,,,pending,Answer code. No CIEL code in the DAK; terminology lookup required before declaring.
Family Planning,,EMR.FP.DE31,Sayana Press,,Code,170789,2026-07-30,unassigned,,,,,,pending,Answer code. CIEL code supplied by the DAK; no concept declared in any content package yet.
(none),Antenatal Care,,Estimated date of delivery,,,,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.edd.uuid,CIEL 5596,,no-dak-source,No EDD data element anywhere in the DAK. Confirm it is intended as derived from LMP rather than recorded.
(none),Labour and Delivery,,Birth outcome,,,,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.birth-outcome.uuid,CIEL 159917,,no-dak-source,"DAK carries live births and fresh/macerated stillbirths only as aggregate Reporting rows, not as an L&D data element."
(none),Labour and Delivery,,Cervical Dilation,,,,2026-07-30,implement-local,mch,concepts,var.concept.partograph.cervical-dilation.uuid,local,,no-dak-source,"The DAK has no partograph tab and no intrapartum monitoring elements. This concept has no DAK source and needs one, or an explicit decision that the WHO SMART Guidelines partograph governs instead."
(none),Labour and Delivery,,Descent of Fetal Head,,,,2026-07-30,implement-local,mch,concepts,var.concept.partograph.descent-of-head.uuid,local,,no-dak-source,"The DAK has no partograph tab and no intrapartum monitoring elements. This concept has no DAK source and needs one, or an explicit decision that the WHO SMART Guidelines partograph governs instead."
(none),Labour and Delivery,,Uterine Contractions per 10 Minutes,,,,2026-07-30,implement-local,mch,concepts,var.concept.partograph.contractions-per-10min.uuid,local,,no-dak-source,"The DAK has no partograph tab and no intrapartum monitoring elements. This concept has no DAK source and needs one, or an explicit decision that the WHO SMART Guidelines partograph governs instead."
(none),Labour and Delivery,,Uterine Contraction Duration,,,,2026-07-30,implement-local,mch,concepts,var.concept.partograph.contraction-duration.uuid,local,,no-dak-source,"The DAK has no partograph tab and no intrapartum monitoring elements. This concept has no DAK source and needs one, or an explicit decision that the WHO SMART Guidelines partograph governs instead."
(none),Labour and Delivery,,Amniotic Fluid Character,,,,2026-07-30,implement-local,mch,concepts,var.concept.partograph.amniotic-fluid.uuid,local,,no-dak-source,"The DAK has no partograph tab and no intrapartum monitoring elements. This concept has no DAK source and needs one, or an explicit decision that the WHO SMART Guidelines partograph governs instead."
(none),Labour and Delivery,,Fetal Skull Moulding,,,,2026-07-30,reuse-ciel,mch,concepts,var.concept.ciel.moulding.uuid,CIEL 166527,,no-dak-source,"The DAK has no partograph tab and no intrapartum monitoring elements. Uses CIEL 166527 Degree of foetal moulding rather than the rejected local concept with undeclared answers; the governing clinical source still needs an explicit decision."
(none),Intermittent Treatment (IPT),,IPTp deferral reason,,,,2026-08-11,implement-local,mch,concepts,var.concept.mch.iptp-deferral-reason.uuid,local,anc-initial.json#iptpDeferralReason;anc-followup.json#iptpDeferralReason,no-dak-source,"Not a DAK data element. Supporting metadata for the Fatima acceptance case: Woman receiving IPT = No and IPTp deferral reason = Malaria treatment initiated. The answer set is deliberately limited to that one clinically approved reason, so the form leaves the question OPTIONAL -- IPT is also legitimately not given below 13 weeks gestation, when the schedule is complete, on SP stock-out, or on documented sulfa allergy, and none of those can be recorded yet. Extend the answer set with the clinical team before making it required."
(none),Intermittent Treatment (IPT),,Malaria treatment initiated,IPTp deferral reason,,,2026-08-11,implement-local,mch,concepts,var.concept.mch.iptp-deferred-malaria-treatment.uuid,local,anc-initial.json#iptpDeferralReason;anc-followup.json#iptpDeferralReason,no-dak-source,Answer for IPTp deferral reason. No additional deferral reasons invented in this increment; see the DE-less IPTp deferral reason row for the reasons still missing.
(none),PNC,,Newborn Postnatal Contact,,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.newborn-pnc-contact.uuid,local,newborn-pnc.json#newbornPostnatalContact,verified,"Dedicated local MCH coded question for newborn postnatal contact timing classification. Answers: PNC 1 (within 24h), PNC 2 (within 7d), PNC 3 (within 28d), PNC 4 (within 42d). Does not reuse maternal PPC1-PPC4 concepts."
(none),PNC,,PNC 1: Received within 24 hours,Newborn Postnatal Contact,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.pnc-1-received-within-24hrs.uuid,local,newborn-pnc.json#newbornPostnatalContact,verified,Newborn-specific answer for contact within 24 hours of birth.
(none),PNC,,PNC 2: Received within 7 days,Newborn Postnatal Contact,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.pnc-2-received-within-7-days.uuid,local,newborn-pnc.json#newbornPostnatalContact,verified,Newborn-specific answer for contact within 7 days of birth.
(none),PNC,,PNC 3: Received within 28 days,Newborn Postnatal Contact,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.pnc-3-received-within-28-days.uuid,local,newborn-pnc.json#newbornPostnatalContact,verified,Newborn-specific answer for contact within 28 days of birth.
(none),PNC,,PNC 4: Received within 42 days,Newborn Postnatal Contact,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.pnc-4-received-within-42-days.uuid,local,newborn-pnc.json#newbornPostnatalContact,verified,Newborn-specific answer for contact within 42 days (6 weeks) of birth. Drives later static vaccine reminders.
(none),PNC,,Newborn Postnatal Complications,,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.newborn-pnc-complications.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,"Coded question for newborn complications and danger signs. 17 answers in exact DAK order. Reuses CIEL 1107 (None), CIEL 143050 (Cyanosis), CIEL 143388 (Convulsions in newborn), CIEL 150915 (Abdominal distension), CIEL 140238 (Fever), CIEL 137998 (Hypothermia of newborn), CIEL 5622 (Other). 10 answers are local MCH concepts because no exact CIEL equivalents exist."
(none),PNC,,"Noisy breathing (grunting, stridor)",Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.noisy-breathing.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,"Local MCH danger sign answer. No exact CIEL concept combines noisy breathing, grunting, and stridor."
(none),PNC,,"Slow breathing, gasping, apnoea",Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.slow-breathing-gasping-apnoea.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,"Local MCH danger sign answer. No exact CIEL concept combines slow breathing, gasping, and apnoea."
(none),PNC,,Flaring of the nostrils with each breath,Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.flaring-of-nostrils.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,Local MCH danger sign answer. Lacks exact CIEL equivalent for the specific DAK phrasing with each breath.
(none),PNC,,Not able to feed at all or not feeding well,Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.not-able-to-feed.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,Local MCH danger sign answer. No exact CIEL composite finding for feeding inability or poor feeding.
(none),PNC,,Fast breathing (breathing rate ≥ 60/min),Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.fast-breathing.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,Local MCH danger sign answer. No exact CIEL tachypnea finding includes the >=60/min threshold.
(none),PNC,,Severe chest in-drawing,Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.severe-chest-indrawing.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,Local MCH danger sign answer. No exact CIEL recession concept includes the Severe qualifier.
(none),PNC,,Movement only when stimulated or no movement at all,Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.movement-only-when-stimulated.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,Local MCH danger sign answer. No composite CIEL concept exists for response-to-stimuli range.
(none),PNC,,Draining purulent discharge from stump or cut,Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.draining-purulent-discharge-stump-cut.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,"Local MCH danger sign answer. CIEL 132407 (Omphalitis of newborn) is a diagnosis, not the specific discharge finding."
(none),PNC,,Bleeding from stump or cut,Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.bleeding-from-stump-cut.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,Local MCH danger sign answer. No exact CIEL finding for umbilical stump or cut bleeding.
(none),PNC,,Any jaundice in the first 24 hrs of life,Newborn Postnatal Complications,,,2026-08-19,implement-local,mch,concepts,var.concept.mch.jaundice-first-24hrs.uuid,local,newborn-pnc.json#newbornPostnatalComplications,verified,Local MCH danger sign answer. CIEL 115368 (Neonatal jaundice) is a general diagnosis; no CIEL concept includes the 24-hour onset timeframe finding.
(none),PNC,,Other newborn complication details,Other (specify),Text,,2026-08-19,implement-local,mch,concepts,var.concept.mch.other-newborn-complication-details.uuid,local,newborn-pnc.json#otherNewbornComplicationDetails,verified,Companion Text question for details when Other is selected under newborn postnatal complications.
